Time,Channel A,Channel B
(s),(mV),(V)

3.08273697,-43.15928000,2.16040500
3.08304997,-43.15928000,2.16040500
3.08336297,-41.38920000,2.16040500
3.08367597,-43.15928000,2.16040500
3.08398897,-41.38920000,2.16040500
3.08430197,-41.38920000,2.16040500
3.08461497,-41.38920000,2.16040500
3.08492797,-41.38920000,2.16040500
3.08524097,-43.15928000,2.16040500
3.08555397,-43.15928000,2.16040500
3.08586697,-43.15928000,2.20374200
3.08617997,-41.38920000,2.16040500
3.08649297,-41.38920000,2.16040500
3.08680597,-41.38920000,2.16040500
3.08711897,-41.38920000,2.16040500
3.08743197,-41.38920000,2.16040500
3.08774497,-43.15928000,2.16040500
3.08805797,-41.38920000,2.16040500
3.08837097,-43.15928000,2.16040500
3.08868397,-41.38920000,2.16040500
3.08899697,-43.15928000,2.16040500
3.08930997,-41.38920000,2.16040500
3.08962297,-43.15928000,2.16040500
3.08993597,-41.38920000,2.16040500
3.09024897,-43.15928000,2.16040500
3.09056197,-43.15928000,2.16040500
3.09087497,-43.15928000,2.16040500
3.09118797,-43.15928000,2.16040500
3.09150097,-41.38920000,2.20374200
3.09181397,-43.15928000,2.16040500
3.09212697,-41.38920000,2.16040500
3.09243997,-43.15928000,2.16040500
3.09275297,-43.15928000,2.16040500
3.09306597,-41.38920000,2.16040500
3.09337897,-43.15928000,2.16040500
3.09369197,-43.15928000,2.16040500
3.09400497,-41.38920000,2.16040500
3.09431797,-43.15928000,2.16040500
3.09463097,-43.15928000,2.16040500
3.09494397,-41.38920000,2.16040500
3.09525697,-41.38920000,2.16040500
3.09556997,-41.38920000,2.16040500
3.09588297,-43.15928000,2.16040500
3.09619597,-43.15928000,2.16040500
3.09650897,-41.38920000,2.16040500
3.09682197,-43.15928000,2.16040500
3.09713497,-41.38920000,2.16040500
3.09744797,-41.38920000,2.16040500
3.09776097,-41.38920000,2.16040500
3.09807397,-43.15928000,2.16040500
3.09838697,-43.15928000,2.16040500
3.09869997,-41.38920000,2.16040500
3.09901297,-43.15928000,2.16040500
3.09932597,-43.15928000,2.16040500
3.09963897,-43.15928000,2.16040500
3.09995197,-43.15928000,2.16040500
3.10026497,-43.15928000,2.16040500
3.10057797,-43.15928000,2.16040500
3.10089097,-43.15928000,2.16040500
3.10120397,-43.15928000,2.16040500
3.10151697,-41.38920000,2.16040500
3.10182997,-43.15928000,2.16040500
3.10214297,-43.15928000,2.16040500
3.10245597,-41.38920000,2.16040500
3.10276897,-41.38920000,2.16040500
3.10308197,-41.38920000,2.16040500
3.10339497,-43.15928000,2.16040500
3.10370797,-41.38920000,2.16040500
3.10402097,-41.38920000,2.16040500
3.10433397,-41.38920000,2.16040500
3.10464697,-41.38920000,2.16040500
3.10495997,-41.38920000,2.16040500
3.10527297,-41.38920000,2.16040500
3.10558597,-41.38920000,2.16040500
3.10589897,-41.38920000,2.16040500
3.10621197,-43.15928000,2.16040500
3.10652497,-41.38920000,2.16040500
3.10683797,-41.38920000,2.16040500
3.10715097,-41.38920000,2.16040500
3.10746397,-41.38920000,2.16040500
3.10777697,-41.38920000,2.16040500
3.10808997,-43.15928000,2.16040500
3.10840297,-43.15928000,2.16040500
3.10871597,-43.15928000,2.16040500
3.10902897,-43.15928000,2.16040500
3.10934197,-43.15928000,2.16040500
3.10965497,-43.15928000,2.16040500
3.10996797,-41.38920000,2.16040500
3.11028097,-43.15928000,2.16040500
3.11059397,-41.38920000,2.16040500
3.11090697,-41.38920000,2.16040500
3.11121997,-43.15928000,2.16040500
3.11153297,-43.15928000,2.16040500
3.11184597,-41.38920000,2.16040500
3.11215897,-41.38920000,2.16040500
3.11247197,-41.38920000,2.16040500
3.11278497,-41.38920000,2.16040500
3.11309797,-43.15928000,2.16040500
3.11341097,-43.15928000,2.16040500
3.11372397,-43.15928000,2.16040500
3.11403697,-41.38920000,2.16040500
3.11434997,-43.15928000,2.16040500
3.11466297,-41.38920000,2.16040500
3.11497597,-43.15928000,2.16040500
3.11528897,-43.15928000,2.16040500
