T ms, P pa
318780,101033.90625
318830,101033.90625
318880,101033.90625
318930,101033.90625
318980,101033.90625
319030,101033.90625
319080,101033.90625
319130,101033.90625
319180,101034.59375
319230,101034.59375
319280,101034.59375
319330,101034.59375
319380,101034.59375
319430,101034.59375
319480,101034.59375
319530,101034.59375
319580,101034.59375
319630,101034.59375
319680,101035.40625
319730,101035.40625
319780,101035.40625
319830,101035.40625
319880,101035.40625
319930,101035.40625
319980,101035.40625
320030,101035.40625
320080,101035.40625
320130,101035.7734375
320180,101035.7734375
320230,101035.7734375
320280,101035.7734375
320330,101035.7734375
320380,101035.7734375
320430,101035.7734375
320480,101035.7734375
320530,101035.7734375
320580,101036.421875
320630,101036.421875
320680,101036.421875
320730,101036.421875
320780,101036.421875
320830,101036.421875
320880,101036.421875
