Время;Канал A;Канал B
(с);(В);(В)

-4,51562499;0,02551347;5,79516000
-4,51249999;0,02551347;5,79516000
-4,50937499;0,02551347;5,79516000
-4,50624999;0,02551347;5,79516000
-4,50312499;0,02551347;5,79516000
-4,49999999;0,02551347;5,88183200
-4,49687499;0,02551347;5,79516000
-4,49374999;0,02551347;5,79516000
-4,49062499;0,02551347;5,79516000
-4,48749999;0,02551347;5,79516000
-4,48437499;0,02551347;5,79516000
-4,48124999;0,02551347;5,79516000
-4,47812499;0,02551347;5,88183200
-4,47499999;0,02551347;5,79516000
-4,47187499;0,02551347;5,70879200
-4,46874999;0,02551347;5,79516000
-4,46562499;0,02551347;5,79516000
-4,46249999;0,02551347;5,79516000
-4,45937499;0,02551347;5,79516000
-4,45624999;0,02551347;5,79516000
-4,45312499;0,02551347;5,79516000
-4,44999999;0,02551347;5,79516000
-4,44687499;0,02551347;5,79516000
-4,44374999;0,02551347;5,79516000
-4,44062499;0,02551347;5,79516000
-4,43749999;0,02551347;5,79516000
-4,43437499;0,02551347;5,79516000
-4,43124999;0,02551347;5,79516000
-4,42812499;0,02551347;5,79516000
-4,42499999;0,02551347;5,70879200
-4,42187499;0,02551347;5,79516000
-4,41874999;0,02551347;5,79516000
-4,41562499;0,02551347;5,79516000
-4,41249999;0,02551347;5,79516000
-4,40937499;0,02551347;5,79516000
-4,40624999;0,02551347;5,79516000
-4,40312499;0,02551347;5,79516000
-4,39999999;0,02551347;5,79516000
-4,39687499;0,02551347;5,79516000
-4,39374999;0,02551347;5,79516000
-4,39062499;0,03436384;5,79516000
-4,38749999;0,02551347;5,79516000
-4,38437499;0,03436384;5,79516000
-4,38124999;0,02551347;5,79516000
-4,37812499;0,02551347;5,79516000
-4,37499999;0,02551347;5,79516000
-4,37187499;0,02551347;5,79516000
-4,36874999;0,02551347;5,79516000
-4,36562499;0,02551347;5,79516000
-4,36249999;0,02551347;5,88183200
-4,35937499;0,02551347;5,79516000
-4,35624999;0,02551347;5,79516000
-4,35312499;0,02551347;5,79516000
-4,34999999;0,02551347;5,79516000
-4,34687499;0,02551347;5,79516000
-4,34374999;0,02551347;5,70879200
-4,34062499;0,02551347;5,79516000
-4,33749999;0,02551347;5,79516000
-4,33437499;0,02551347;5,79516000
-4,33124999;0,02551347;5,79516000
-4,32812499;0,02551347;5,70879200
-4,32499999;0,02551347;5,79516000
-4,32187499;0,02551347;5,79516000
-4,31874999;0,03436384;5,79516000
-4,31562499;0,03436384;5,79516000
-4,31249999;0,02551347;5,79516000
-4,30937499;0,02551347;5,79516000
-4,30624999;0,02551347;5,79516000
-4,30312499;0,02551347;5,70879200
-4,29999999;0,02551347;5,79516000
-4,29687499;0,02551347;5,79516000
-4,29374999;0,02551347;5,79516000
-4,29062499;0,02551347;5,79516000
-4,28749999;0,02551347;5,79516000
-4,28437499;0,02551347;5,79516000
-4,28124999;0,02551347;5,79516000
-4,27812499;0,02551347;5,79516000
-4,27499999;0,02551347;5,79516000
-4,27187499;0,02551347;5,79516000
-4,26874999;0,02551347;5,79516000
-4,26562499;0,02551347;5,70879200
-4,26249999;0,02551347;5,70879200
-4,25937499;0,02551347;5,79516000
-4,25624999;0,02551347;5,79516000
-4,25312499;0,00781274;5,79516000
-4,24999999;0,02551347;5,79516000
-4,24687499;0,02551347;5,79516000
-4,24374999;0,02551347;5,79516000
-4,24062499;0,02551347;5,70879200
-4,23749999;0,02551347;5,79516000
-4,23437499;0,02551347;5,79516000
-4,23124999;0,02551347;5,79516000
-4,22812499;0,02551347;5,79516000
-4,22499999;0,02551347;5,70879200
-4,22187499;0,02551347;5,79516000
-4,21874999;0,02551347;5,79516000
-4,21562499;0,02551347;5,88183200
-4,21249999;0,02551347;5,79516000
-4,20937499;0,02551347;5,79516000
-4,20624999;0,02551347;5,88183200
-4,20312499;0,02551347;5,79516000
-4,19999999;0,02551347;5,79516000
-4,19687499;0,02551347;5,79516000
-4,19374999;0,02551347;5,79516000
-4,19062499;0,02551347;5,79516000
-4,18749999;0,02551347;5,79516000
-4,18437499;0,02551347;5,79516000
-4,18124999;0,02551347;5,79516000
-4,17812499;0,02551347;5,79516000
-4,17499999;0,02551347;5,79516000
-4,17187499;0,02551347;5,79516000
-4,16874999;0,02551347;5,79516000
-4,16562499;0,02551347;5,70879200
-4,16249999;0,02551347;5,70879200
-4,15937499;0,02551347;5,79516000
-4,15624999;0,02551347;5,70879200
-4,15312499;0,02551347;5,79516000
-4,14999999;0,02551347;5,79516000
-4,14687499;0,01666311;5,79516000
-4,14374999;0,02551347;5,79516000
-4,14062499;0,02551347;5,70879200
-4,13749999;0,02551347;5,79516000
-4,13437499;0,02551347;5,79516000
-4,13124999;0,02551347;5,79516000
-4,12812499;0,02551347;5,79516000
-4,12499999;0,02551347;5,79516000
-4,12187499;0,02551347;5,79516000
-4,11874999;0,02551347;5,79516000
-4,11562499;0,02551347;5,79516000
-4,11249999;0,02551347;5,70879200
-4,10937499;0,02551347;5,79516000
-4,10624999;0,03436384;5,79516000
-4,10312499;0,02551347;5,79516000
-4,09999999;0,02551347;5,79516000
-4,09687499;0,02551347;5,79516000
-4,09374999;0,02551347;5,79516000
-4,09062499;0,02551347;5,79516000
-4,08749999;0,02551347;5,79516000
-4,08437499;0,02551347;5,79516000
-4,08124999;0,02551347;5,79516000
-4,07812499;0,02551347;5,79516000
-4,07499999;0,02551347;5,79516000
-4,07187499;0,02551347;5,79516000
-4,06874999;0,02551347;5,79516000
-4,06562499;0,02551347;5,79516000
-4,06249999;0,02551347;5,79516000
-4,05937499;0,02551347;5,79516000
-4,05624999;0,02551347;5,79516000
-4,05312499;0,02551347;5,79516000
-4,04999999;0,02551347;5,79516000
-4,04687499;0,02551347;5,79516000
-4,04374999;0,02551347;5,79516000
-4,04062499;0,02551347;5,79516000
-4,03749999;0,02551347;5,79516000
-4,03437499;0,02551347;5,70879200
-4,03124999;0,02551347;5,79516000
-4,02812499;0,02551347;5,79516000
-4,02499999;0,02551347;5,79516000
-4,02187499;0,02551347;5,79516000
-4,01874999;0,02551347;5,79516000
-4,01562499;0,02551347;5,79516000
-4,01249999;0,02551347;5,79516000
-4,00937499;0,02551347;5,79516000
-4,00624999;0,02551347;5,79516000
-4,00312499;0,02551347;5,79516000
-3,99999999;0,02551347;5,79516000
-3,99687499;0,02551347;5,79516000
-3,99374999;0,02551347;5,79516000
-3,99062499;0,01666311;5,79516000
-3,98749999;0,02551347;5,70879200
-3,98437499;0,02551347;5,79516000
-3,98124999;0,01666311;5,79516000
-3,97812499;0,02551347;5,70879200
-3,97499998;0,02551347;5,70879200
-3,97187498;0,02551347;5,79516000
-3,96874998;0,02551347;5,79516000
-3,96562498;0,02551347;5,79516000
-3,96249998;0,01666311;5,70879200
-3,95937498;0,01666311;5,79516000
-3,95624998;0,02551347;5,79516000
-3,95312498;0,02551347;5,79516000
-3,94999998;0,02551347;5,79516000
-3,94687498;0,02551347;5,79516000
-3,94374998;0,02551347;5,79516000
-3,94062498;0,02551347;5,79516000
-3,93749998;0,02551347;5,79516000
-3,93437498;0,02551347;5,88183200
-3,93124998;0,02551347;5,79516000
-3,92812498;0,02551347;5,79516000
-3,92499998;0,02551347;5,79516000
-3,92187498;0,02551347;5,70879200
-3,91874998;0,02551347;5,79516000
-3,91562498;0,02551347;5,79516000
-3,91249998;0,02551347;5,79516000
-3,90937498;0,02551347;5,79516000
-3,90624998;0,02551347;5,79516000
-3,90312498;0,02551347;5,79516000
-3,89999998;0,02551347;5,79516000
-3,89687498;0,02551347;5,79516000
-3,89374998;0,02551347;5,79516000
-3,89062498;0,02551347;5,70879200
-3,88749998;0,02551347;5,79516000
-3,88437498;0,02551347;5,79516000
-3,88124998;0,02551347;5,79516000
-3,87812498;0,02551347;5,79516000
-3,87499998;0,01666311;5,79516000
-3,87187498;0,02551347;5,79516000
-3,86874998;0,02551347;5,79516000
-3,86562498;0,02551347;5,88183200
-3,86249998;0,02551347;5,79516000
-3,85937498;0,02551347;5,79516000
-3,85624998;0,02551347;5,79516000
-3,85312498;0,02551347;5,79516000
-3,84999998;0,02551347;5,70879200
-3,84687498;0,02551347;5,79516000
-3,84374998;0,02551347;5,79516000
-3,84062498;0,02551347;5,79516000
-3,83749998;0,02551347;5,79516000
-3,83437498;0,02551347;5,79516000
-3,83124998;0,02551347;5,79516000
-3,82812498;0,02551347;5,79516000
-3,82499998;0,02551347;5,79516000
-3,82187498;0,02551347;5,70879200
-3,81874998;0,02551347;5,79516000
-3,81562498;0,02551347;5,79516000
-3,81249998;0,02551347;5,79516000
-3,80937498;0,02551347;5,79516000
-3,80624998;0,02551347;5,79516000
-3,80312498;0,02551347;5,79516000
-3,79999998;0,02551347;5,79516000
-3,79687498;0,02551347;5,79516000
-3,79374998;0,01666311;5,79516000
-3,79062498;0,02551347;5,79516000
-3,78749998;0,02551347;5,79516000
-3,78437498;0,02551347;5,79516000
-3,78124998;0,02551347;5,79516000
-3,77812498;0,02551347;5,79516000
-3,77499998;0,02551347;5,79516000
-3,77187498;0,02551347;5,79516000
-3,76874998;0,02551347;5,79516000
-3,76562498;0,02551347;5,79516000
-3,76249998;0,02551347;5,79516000
-3,75937498;0,02551347;5,79516000
-3,75624998;0,02551347;5,79516000
-3,75312498;0,02551347;5,79516000
-3,74999998;0,02551347;5,79516000
-3,74687498;0,02551347;5,79516000
-3,74374998;0,02551347;5,70879200
-3,74062498;0,02551347;5,79516000
-3,73749998;0,01666311;5,79516000
-3,73437498;0,02551347;5,79516000
-3,73124998;0,02551347;5,79516000
-3,72812498;0,02551347;5,79516000
-3,72499998;0,02551347;5,79516000
-3,72187498;0,02551347;5,79516000
-3,71874998;0,02551347;5,79516000
-3,71562498;0,02551347;5,79516000
-3,71249998;0,02551347;5,70879200
-3,70937498;0,01666311;5,79516000
-3,70624998;0,02551347;5,79516000
-3,70312498;0,02551347;5,79516000
-3,69999998;0,02551347;5,70879200
-3,69687498;0,02551347;5,79516000
-3,69374998;0,02551347;5,70879200
-3,69062498;0,02551347;5,79516000
-3,68749998;0,02551347;5,79516000
-3,68437498;0,02551347;5,79516000
-3,68124998;0,02551347;5,79516000
-3,67812498;0,02551347;5,79516000
-3,67499998;0,02551347;5,70879200
-3,67187498;0,02551347;5,79516000
-3,66874998;0,02551347;5,79516000
-3,66562498;0,02551347;5,79516000
-3,66249998;0,02551347;5,79516000
-3,65937498;0,02551347;5,79516000
-3,65624998;0,02551347;5,79516000
-3,65312498;0,02551347;5,79516000
-3,64999998;0,02551347;5,79516000
-3,64687498;0,02551347;5,79516000
-3,64374998;0,02551347;5,79516000
-3,64062498;0,02551347;5,70879200
-3,63749998;0,02551347;5,79516000
-3,63437498;0,02551347;5,79516000
-3,63124998;0,02551347;5,79516000
-3,62812498;0,02551347;5,70879200
-3,62499998;0,02551347;5,79516000
-3,62187498;0,02551347;5,70879200
-3,61874998;0,02551347;5,79516000
-3,61562498;0,02551347;5,79516000
-3,61249998;0,02551347;5,79516000
-3,60937498;0,02551347;5,79516000
-3,60624998;0,02551347;5,79516000
-3,60312498;0,02551347;5,79516000
-3,59999998;0,02551347;5,79516000
-3,59687498;0,03436384;5,79516000
-3,59374998;0,02551347;5,79516000
-3,59062498;0,02551347;5,79516000
-3,58749998;0,02551347;5,79516000
-3,58437498;0,02551347;5,79516000
-3,58124998;0,02551347;5,79516000
-3,57812498;0,02551347;5,79516000
-3,57499998;0,02551347;5,79516000
-3,57187498;0,02551347;5,70879200
-3,56874998;0,02551347;5,79516000
-3,56562498;0,02551347;5,79516000
-3,56249998;0,02551347;5,79516000
-3,55937498;0,02551347;5,79516000
-3,55624998;0,02551347;5,79516000
-3,55312498;0,02551347;5,79516000
-3,54999998;0,02551347;5,79516000
-3,54687498;0,02551347;5,70879200
-3,54374998;0,02551347;5,79516000
-3,54062498;0,02551347;5,79516000
-3,53749998;0,02551347;5,79516000
-3,53437498;0,02551347;5,79516000
-3,53124998;0,02551347;5,79516000
-3,52812498;0,02551347;5,79516000
-3,52499998;0,02551347;5,79516000
-3,52187498;0,02551347;5,79516000
-3,51874998;0,02551347;5,79516000
-3,51562498;0,02551347;5,79516000
-3,51249998;0,02551347;5,79516000
-3,50937498;0,02551347;5,79516000
-3,50624998;0,02551347;5,79516000
-3,50312498;0,02551347;5,79516000
-3,49999998;0,02551347;5,79516000
-3,49687498;0,02551347;5,79516000
-3,49374998;0,02551347;5,79516000
-3,49062498;0,02551347;5,79516000
-3,48749998;0,02551347;5,79516000
-3,48437498;0,02551347;5,79516000
-3,48124998;0,02551347;5,79516000
-3,47812498;0,02551347;5,79516000
-3,47499998;0,02551347;5,70879200
-3,47187498;0,02551347;5,79516000
-3,46874998;0,02551347;5,79516000
-3,46562498;0,02551347;5,79516000
-3,46249998;0,02551347;5,79516000
-3,45937498;0,02551347;5,70879200
-3,45624998;0,02551347;5,79516000
-3,45312498;0,02551347;5,79516000
-3,44999998;0,02551347;5,79516000
-3,44687498;0,02551347;5,79516000
-3,44374998;0,02551347;5,79516000
-3,44062498;0,02551347;5,79516000
-3,43749998;0,02551347;5,79516000
-3,43437498;0,02551347;5,79516000
-3,43124998;0,02551347;5,79516000
-3,42812498;0,02551347;5,79516000
-3,42499998;0,02551347;5,79516000
-3,42187498;0,02551347;5,79516000
-3,41874998;0,02551347;5,79516000
-3,41562498;0,02551347;5,79516000
-3,41249998;0,02551347;5,79516000
-3,40937498;0,02551347;5,79516000
-3,40624998;0,02551347;5,79516000
-3,40312498;0,02551347;5,79516000
-3,39999998;0,02551347;5,79516000
-3,39687498;0,02551347;5,79516000
-3,39374998;0,02551347;5,70879200
-3,39062498;0,02551347;5,88183200
-3,38749998;0,02551347;5,79516000
-3,38437498;0,02551347;5,79516000
-3,38124998;0,02551347;5,79516000
-3,37812498;0,02551347;5,79516000
-3,37499998;0,02551347;5,79516000
-3,37187498;0,02551347;5,70879200
-3,36874998;0,03436384;5,79516000
-3,36562498;0,02551347;5,79516000
-3,36249998;0,02551347;5,70879200
-3,35937498;0,02551347;5,79516000
-3,35624998;0,02551347;5,79516000
-3,35312498;0,02551347;5,79516000
-3,34999998;0,02551347;5,79516000
-3,34687498;0,03436384;5,79516000
-3,34374998;0,02551347;5,79516000
-3,34062498;0,03436384;5,79516000
-3,33749998;0,02551347;5,79516000
-3,33437498;0,02551347;5,79516000
-3,33124998;0,02551347;5,79516000
-3,32812498;0,02551347;5,79516000
-3,32499998;0,02551347;5,79516000
-3,32187498;0,02551347;5,79516000
-3,31874998;0,02551347;5,79516000
-3,31562498;0,03436384;5,70879200
-3,31249998;0,02551347;5,79516000
-3,30937498;0,02551347;5,79516000
-3,30624997;0,02551347;5,79516000
-3,30312497;0,02551347;5,79516000
-3,29999997;0,02551347;5,70879200
-3,29687497;0,02551347;5,79516000
-3,29374997;0,02551347;5,79516000
-3,29062497;0,02551347;5,70879200
-3,28749997;0,02551347;5,79516000
-3,28437497;0,02551347;5,79516000
-3,28124997;0,02551347;5,79516000
-3,27812497;0,02551347;5,79516000
-3,27499997;0,02551347;5,79516000
-3,27187497;0,02551347;5,79516000
-3,26874997;0,02551347;5,70879200
-3,26562497;0,02551347;5,79516000
-3,26249997;0,02551347;5,70879200
-3,25937497;0,02551347;5,79516000
-3,25624997;0,02551347;5,79516000
-3,25312497;0,02551347;5,70879200
-3,24999997;0,03436384;5,79516000
-3,24687497;0,02551347;5,79516000
-3,24374997;0,02551347;5,79516000
-3,24062497;0,02551347;5,79516000
-3,23749997;0,02551347;5,79516000
-3,23437497;0,02551347;5,70879200
-3,23124997;0,02551347;5,79516000
-3,22812497;0,02551347;5,79516000
-3,22499997;0,03436384;5,88183200
-3,22187497;0,02551347;5,79516000
-3,21874997;0,02551347;5,79516000
-3,21562497;0,02551347;5,79516000
-3,21249997;0,02551347;5,79516000
-3,20937497;0,02551347;5,79516000
-3,20624997;0,02551347;5,70879200
-3,20312497;0,02551347;5,79516000
-3,19999997;0,02551347;5,79516000
-3,19687497;0,02551347;5,79516000
-3,19374997;0,02551347;5,79516000
-3,19062497;0,02551347;5,79516000
-3,18749997;0,02551347;5,70879200
-3,18437497;0,02551347;5,79516000
-3,18124997;0,02551347;5,79516000
-3,17812497;0,02551347;5,79516000
-3,17499997;0,02551347;5,79516000
-3,17187497;0,02551347;5,79516000
-3,16874997;0,02551347;5,79516000
-3,16562497;0,02551347;5,79516000
-3,16249997;0,02551347;5,79516000
-3,15937497;0,02551347;5,70879200
-3,15624997;0,02551347;5,79516000
-3,15312497;0,02551347;5,70879200
-3,14999997;0,02551347;5,79516000
-3,14687497;0,02551347;5,79516000
