#multi:
	A			bench_1			bench_2			light_1_a			light_1_b			light_2_b			light_2_a			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
2.015744E1																					
2.017409E1																					
2.019075E1																					
2.020741E1																					
2.022407E1																					
2.024073E1																					
2.025739E1																					
2.027405E1																					
2.029071E1																					
2.030737E1																					
2.032403E1																					
2.034068E1																					
2.035734E1																					
2.037400E1																					
2.039066E1																					
2.040732E1																					
2.042398E1																					
2.044064E1																					
2.045730E1																					
2.047396E1																					
2.049062E1																					
2.050728E1																					
2.052393E1																					
2.054059E1																					
2.055725E1																					
2.057391E1																					
2.059057E1																					
2.060723E1																					
2.062389E1																					
2.064055E1																					
2.065721E1																					
2.067387E1																					
2.069052E1																					
2.070718E1																					
2.072384E1																					
2.074050E1																					
2.075716E1																					
2.077382E1																					
2.079048E1																					
2.080714E1																					
2.082380E1																					
2.084046E1																					
2.085712E1																					
2.087377E1																					
2.089043E1																					
2.090709E1																					
2.092375E1																					
2.094041E1																					
2.095707E1																					
2.097373E1																					
2.099039E1																					
2.100705E1																					
2.102371E1																					
2.104036E1																					
2.105702E1																					
2.107368E1																					
2.109034E1																					
2.110700E1																					
2.112366E1																					
2.114032E1																					
2.115698E1																					
2.117364E1																					
2.119030E1																					
2.120695E1																					
2.122361E1																					
2.124027E1																					
2.125693E1																					
2.127359E1																					
2.129025E1																					
2.130691E1																					
2.132357E1																					
2.134023E1																					
2.135689E1																					
2.137355E1																					
2.139020E1																					
2.140686E1																					
2.142352E1																					
2.144018E1																					
2.145684E1																					
2.147350E1																					
2.149016E1																					
2.150682E1																					
2.152348E1																					
2.154014E1																					
2.155679E1																					
2.157345E1																					
2.159011E1																					
2.160677E1																					
2.162343E1																					
2.164009E1																					
2.165675E1																					
2.167341E1																					
2.169007E1																					
2.170673E1																					
2.172339E1																					
2.174004E1																					
2.175670E1																					
2.177336E1																					
2.179002E1																					
2.180668E1																					
2.182334E1																					
2.184000E1																					
2.185666E1																					
2.187332E1																					
2.188998E1																					
2.190663E1																					
2.192329E1																					
2.193995E1																					
2.195661E1																					
2.197327E1																					
2.198993E1																					
2.200659E1																					
2.202325E1																					
2.203991E1																					
2.205657E1																					
2.207322E1																					
2.208988E1																					
2.210654E1																					
2.212320E1																					
2.213986E1																					
2.215652E1																					
2.217318E1																					
2.218984E1																					
2.220650E1																					
2.222316E1																					
2.223982E1																					
2.225647E1																					
2.227313E1																					
2.228979E1	6.923902E0	2.264883E2	1.086198E3																		
2.230645E1	6.884407E0	2.264883E2	1.089373E3																		
2.232311E1																					
2.233977E1																					
2.235643E1																					
2.237309E1																					
2.238975E1																					
2.240641E1																					
2.242306E1																					
2.243972E1																					
2.245638E1																					
2.247304E1																					
2.248970E1																					
2.250636E1																					
2.252302E1	3.152657E0	2.201387E2	1.389392E3																		
2.253968E1	2.718073E0	2.217261E2	1.424315E3																		
2.255634E1	2.283626E0	2.217261E2	1.459238E3																		
2.257300E1	1.947096E0	2.312505E2	1.486223E3																		
2.258966E1	1.977043E0	2.323966E2	1.483808E3																		
