T ms, P pa
787591,99805.046875
787601,99807.171875
787611,99806.6171875
787621,99810.078125
787631,99808.171875
787641,99804.578125
787651,99806.953125
787661,99806.953125
787671,99803.09375
787681,99802.609375
787691,99804.359375
787754,99801.9296875
787764,99801.375
787774,99801.7421875
787784,99802.609375
787794,99799.703125
787804,99796.546875
787814,99796.546875
787824,99800.5703125
787834,99802.15625
787844,99797.671875
787855,99796.0
787865,99796.765625
787875,99799.03125
787885,99799.03125
787895,99799.03125
787905,99804.09375
787915,99798.53125
787925,99798.9296875
787935,99799.34375
787945,99796.984375
787955,99799.03125
787965,99801.375
787975,99796.3125
787985,99797.1796875
787995,99800.5703125
788005,99800.015625
788015,99798.65625
788025,99795.53125
788035,99799.15625
788045,99801.25
788055,99801.46875
788065,99801.9296875
788075,99800.2890625
788085,99796.21875
788095,99796.21875
788105,99801.9296875
788115,99800.015625
788125,99803.515625
788135,99798.65625
788145,99799.703125
788223,99806.8125
788233,99801.25
788243,99798.53125
788253,99797.1796875
788263,99796.3125
788273,99794.734375
788283,99794.734375
788293,99798.25
788303,99800.015625
788313,99795.078125
788323,99795.828125
788333,99796.625
788343,99796.625
788353,99793.5
788363,99796.5
788373,99793.328125
788383,99795.140625
788393,99795.140625
788403,99791.0
788413,99795.078125
788423,99794.2734375
788433,99794.59375
788443,99793.046875
788453,99791.96875
788463,99793.234375
788473,99791.34375
788483,99791.34375
788493,99793.59375
788503,99791.6875
788513,99791.296875
788523,99789.8359375
788533,99788.2890625
788543,99785.8125
788553,99785.8125
788563,99793.109375
788573,99788.96875
788583,99791.1953125
788593,99795.953125
788603,99790.328125
788613,99791.6875
788685,99787.8984375
788695,99787.265625
788705,99787.265625
788715,99791.75
788725,99786.5390625
788745,99789.7109375
788765,99788.84375
788775,99788.0703125
788785,99787.0
788795,99791.1953125
788805,99788.84375
788815,99783.78125
788825,99786.9375
788835,99787.609375
788845,99787.609375
788865,99790.953125
788895,99791.0703125
788915,99784.28125
788925,99787.671875
788935,99791.4140625
788945,99789.9375
788955,99792.09375
788965,99784.765625
788975,99784.765625
788985,99790.609375
788995,99791.4140625
789005,99788.578125
789015,99789.46875
789025,99791.296875
789035,99789.5234375
789045,99789.5234375
789055,99788.3515625
789065,99790.734375
789075,99791.296875
789153,99793.453125
789163,99793.453125
789173,99785.90625
