#multi:
	A			light_1_a			light_1_b			light_2_b			light_2_a			bench_1			bench_2			
t	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	x	pixelx	pixely	
2.032082E1	1.645146E0	7.798622E2	1.543309E3																		
2.033757E1	1.642704E0	7.775802E2	1.543508E3																		
2.035433E1	1.645179E0	7.786716E2	1.543309E3																		
2.037108E1	1.637655E0	7.790684E2	1.543904E3																		
2.038783E1	1.641322E0	7.823427E2	1.543607E3																		
2.040458E1	1.647572E0	7.827395E2	1.543111E3																		
2.042134E1	1.631270E0	7.836325E2	1.544401E3																		
2.043809E1	1.631270E0	7.836325E2	1.544401E3																		
2.045484E1	1.647512E0	7.849224E2	1.543111E3																		
2.047159E1	1.658778E0	7.850216E2	1.542218E3																		
2.048835E1	1.663749E0	7.864107E2	1.541821E3																		
2.050510E1	1.662469E0	7.874028E2	1.541920E3																		
2.052185E1	1.668762E0	7.862122E2	1.541424E3																		
2.053860E1	1.654933E0	7.882958E2	1.542515E3																		
2.055536E1	1.666182E0	7.889904E2	1.541622E3																		
2.057211E1	1.661133E0	7.904786E2	1.542019E3																		
2.058886E1	1.659860E0	7.912724E2	1.542119E3																		
2.060561E1	1.666098E0	7.920661E2	1.541622E3																		
